newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
224364,5,2010-02-19,2010-06-05,26.20,60.17,966.13,54.81,1038.28,134.61
83453,5,2001-11-09,2002-06-15,12.20,66.08,917.76,54.56,1111.54,184.40
261565,3,2000-09-16,2001-06-24,14.60,66.78,899.06,61.77,1000.32,184.08
122783,5,2008-10-18,2009-06-29,15.17,63.49,1053.80,62.35,1037.26,116.96
252570,1,2007-09-14,2008-06-02,12.03,65.96,969.90,61.04,998.60,154.72
289943,1,2002-10-08,2003-06-10,12.83,67.35,931.11,62.55,1017.80,112.93
100099,6,2003-10-07,2004-06-07,17.57,64.25,982.47,62.55,978.37,168.20
28245,2,2001-02-12,2001-07-05,10.30,53.62,1057.75,54.35,1057.31,89.56
118608,1,2003-02-04,2003-06-05,17.74,59.92,977.01,55.47,1047.24,124.87
368827,1,2013-02-22,2013-07-05,12.86,49.00,1113.64,50.09,1078.41,133.89
324314,2,2011-09-30,2012-06-16,9.67,65.70,996.91,60.98,1035.28,136.24
108613,2,2005-02-03,2005-06-19,15.27,45.98,1119.98,50.79,1071.97,64.85
334742,1,2005-09-30,2006-06-26,12.77,67.27,1021.81,61.20,1057.28,114.93
401521,2,2014-09-23,2015-06-18,14.60,63.75,1037.78,64.10,985.63,170.07
236281,2,2007-01-01,2007-06-07,17.75,59.34,989.21,56.46,1018.91,87.69
6105,3,2000-10-02,2001-06-28,9.80,63.72,1022.03,60.63,1041.55,160.46
399878,5,2014-09-14,2015-06-03,9.83,71.44,893.59,65.79,968.15,155.82
341537,3,2013-01-30,2013-06-23,24.24,42.76,1156.36,44.78,1162.04,175.80
78227,1,2002-11-03,2003-06-14,13.67,67.86,971.65,66.89,967.39,132.93
262224,1,2006-09-19,2007-06-18,15.30,63.57,1075.22,60.40,1061.34,166.01
402684,1,2014-09-29,2015-06-23,14.83,64.02,1045.25,65.43,936.52,177.83
146752,1,2002-09-24,2003-06-13,16.03,74.17,901.97,70.33,913.18,105.72
79189,2,2002-11-06,2003-07-03,11.80,52.82,1121.83,58.65,1079.73,54.20
286222,3,2011-02-13,2011-06-13,19.65,51.89,1093.05,49.19,1086.48,118.26
384221,1,2013-11-02,2014-06-10,12.20,64.03,973.78,59.42,1038.47,143.31
128479,1,2004-10-01,2005-06-03,12.70,60.92,1048.93,59.25,1042.88,141.57
284658,6,2009-01-22,2009-07-08,24.30,59.32,991.59,56.80,1027.51,71.54
